Runner,Lap,Time,Event
Aaron Bradner,1,,Start
Alberto Herrero-Casas,1,,Start
Alexandre Ricaud,1,,Start
Alyssa Godesky,1,,Start
Andrea Larson,1,,Start
Anna Carlsson,1,,Start
Arturas Volianskis,1,,Start
Carol Morgan,1,,Start
Chris Roberts,1,,Start
Courtney Dauwalter,1,,Start
David Hughes,1,,Start
Ed Furtaw,1,,Start
Enrico Frigeri,1,,Start
Greig Hamilton,1,,Start
Guillaume Calmettes,1,,Start
Harvey Lewis,1,,Start
Hinke Schokker,1,,Start
Ian Farris,1,,Start
Isobel Ross,1,,Start
Ivan Dimitrov,1,,Start
Jasmin Paris,1,,Start
Jodi Isenor,1,,Start
Johanna Bygdell,1,,Start
John Clarke,1,,Start
John Kelly,1,,Start
Joshua Wiley,1,,Start
Karel Sabbe,1,,Start
Katie Wright,1,,Start
Leif Abrahamsen,1,,Start
Marina Kollassa,1,,Start
Merijn Geerts,1,,Start
Michael Brower,1,,Start
Michael Dubova,1,,Start
Paul Giblin,1,,Start
Rémy Jegard,1,,Start
Richard Sparks,1,,Start
Thomas Dunkerbeck,1,,Start
Thomas Øderud,1,,Start
Tomokazu Ihara,1,,Start
